"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","0","251","2203425521664","14094336","3178496","14176","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,078125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4932","Microsoft.Win32.SafeHandles.SafeProcessHandle","251","68",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14176","14176","3178496","3178496","148792","148792","3506176","3506176","14221312","14221312","112549888","2203430772736","True","Normal","3178496","3178496","00:00:00.0468750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:07:58",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0312500","107298816","2203425521664","False",,,,"14094336","14094336",,
"svchost","0","921","2203678892032","113430528","84549632","30256","C:\Windows\System32\svchost.exe","Microsoft Corporation","80,40625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3940","Microsoft.Win32.SafeHandles.SafeProcessHandle","921","340",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30256","30256","84549632","84549632","365008","365008","214159360","214159360","157282304","157282304","448884736","2203767107584","True","Normal","84549632","84549632","00:00:10.2812500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:01:20.4062500","00:01:10.1250000","360669184","2203678892032","False",,,,"113430528","113430528",,
"svchost","0","423","2203456323584","33394688","15073280","19808","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,703125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2232","Microsoft.Win32.SafeHandles.SafeProcessHandle","423","376",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19808","19808","15073280","15073280","172608","172608","18661376","18661376","37548032","37548032","183427072","2203501649920","True","Normal","15073280","15073280","00:00:00.4687500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:07:57",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7031250","00:00:00.2343750","138100736","2203456323584","False",,,,"33394688","33394688",,
"svchost","0","211","2203396796416","9871360","1961984","11904","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,0625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3596","Microsoft.Win32.SafeHandles.SafeProcessHandle","211","680",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11904","11904","1961984","1961984","93376","93376","2244608","2244608","9936896","9936896","81719296","2203399942144","True","Normal","1961984","1961984","00:00:00.0468750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","78573568","2203396796416","False",,,,"9871360","9871360",,
"svchost","0","86","2203373555712","3846144","909312","5024","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"5048","Microsoft.Win32.SafeHandles.SafeProcessHandle","86","804",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5024","5024","909312","909312","40944","40944","1052672","1052672","4112384","4112384","57430016","2203375652864","True","Normal","909312","909312","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","55332864","2203373555712","False",,,,"3846144","3846144",,
"svchost","0","923","2203431100416","22360064","7061504","19728","C:\Windows\system32\svchost.exe","Microsoft Corporation","1,015625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2908","Microsoft.Win32.SafeHandles.SafeProcessHandle","923","824",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19728","19728","7061504","7061504","330448","330448","7614464","7614464","22491136","22491136","124776448","2203442999296","True","Normal","7061504","7061504","00:00:00.5468750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0156250","00:00:00.4687500","112877568","2203431100416","False",,,,"22360064","22360064",,
"svchost","0","989","2203399454720","12197888","5484544","21056","C:\Windows\system32\svchost.exe","Microsoft Corporation","3,375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2912","Microsoft.Win32.SafeHandles.SafeProcessHandle","989","868",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21056","21056","5484544","5484544","128536","128536","5537792","5537792","12238848","12238848","89341952","2203407564800","True","Normal","5484544","5484544","00:00:01.1562500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:03.3750000","00:00:02.2187500","81231872","2203399454720","False",,,,"12197888","12197888",,
"svchost","0","344","2203397361664","10452992","2555904","11232","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,09375","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4048","Microsoft.Win32.SafeHandles.SafeProcessHandle","344","912",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11232","11232","2555904","2555904","145240","145240","23465984","23465984","10653696","10653696","101122048","2203419344896","True","Normal","2555904","2555904","00:00:00.0468750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0468750","79138816","2203397361664","False",,,,"10452992","10452992",,
"svchost","0","151","2203392438272","6934528","2011136","9680","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,046875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3532","Microsoft.Win32.SafeHandles.SafeProcessHandle","151","1056",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9680","9680","2011136","2011136","75216","75216","2187264","2187264","7036928","7036928","75788288","2203394011136","True","Normal","2011136","2011136","00:00:00.0312500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","74215424","2203392438272","False",,,,"6934528","6934528",,
"svchost","0","176","2203400433664","11849728","1662976","8968","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3192","Microsoft.Win32.SafeHandles.SafeProcessHandle","176","1064",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8968","8968","1662976","1662976","101808","101808","2088960","2088960","11948032","11948032","85880832","2203404103680","True","Normal","1662976","1662976","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:41",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","82210816","2203400433664","False",,,,"11849728","11849728",,
